W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
19.902439024390244,21.597560975609756,0.4878048780487805,241.21951219512195,43.36585365853659,91.8048780487805,0.4736219512195122,13.5,37.670731707317074,0.3570609756097561,17.951219512195124,23.170731707317074,0.7738170731707318,11.878048780487806,32.6219512195122,44.5,29.585365853658537,9.731707317073171,5.109756097560975,14.695121951219512,19.073170731707318,118.1829268292683
30.353658536585368,11.146341463414634,0.7439024390243902,241.82926829268294,41.6219512195122,90.02439024390245,0.46312195121951216,17.76829268292683,48.23170731707317,0.3690731707317073,15.25609756097561,19.085365853658537,0.8006951219512195,11.378048780487806,33.9390243902439,45.31707317073171,26.146341463414632,7.182926829268292,5.512195121951219,11.353658536585366,15.890243902439025,116.26829268292683
14.365853658536585,27.134146341463413,0.3170731707317073,241.21951219512195,37.63414634146341,86.09756097560975,0.4382195121951219,13.573170731707316,39.41463414634146,0.3423536585365854,16.26829268292683,20.682926829268293,0.7851585365853658,10.902439024390244,30.402439024390244,41.30487804878049,25.158536585365855,7.7926829268292686,4.2926829268292686,13.878048780487806,20.70731707317073,105.10975609756098
10.658536585365853,30.841463414634145,0.23170731707317074,240.91463414634146,38.31707317073171,89.1219512195122,0.4309512195121951,12.987804878048781,38.329268292682926,0.33720731707317075,15.475609756097562,19.76829268292683,0.7792926829268293,12.231707317073171,32.96341463414634,45.19512195121951,24.317073170731707,7.402439024390244,4.487804878048781,14.865853658536585,18.71951219512195,105.09756097560975
17.78048780487805,23.71951219512195,0.47560975609756095,240.91463414634146,43.207317073170735,92.01219512195122,0.47058536585365857,15.439024390243903,42.03658536585366,0.3684512195121951,15.951219512195122,19.71951219512195,0.8092926829268292,10.060975609756097,35.792682926829265,45.853658536585364,29.0609756097561,7.573170731707317,4.7073170731707314,13.939024390243903,17.609756097560975,117.8048780487805
34.59756097560975,6.902439024390244,0.7804878048780488,240.91463414634146,44.53658536585366,90.78048780487805,0.4914512195121951,15.890243902439025,41.47560975609756,0.384609756097561,16.975609756097562,21.865853658536587,0.7717317073170731,11.182926829268293,34.21951219512195,45.40243902439025,28.097560975609756,8.170731707317072,4.2682926829268295,12.536585365853659,18.134146341463413,121.9390243902439
21.829268292682926,19.670731707317074,0.47560975609756095,240.609756097561,41.98780487804878,87.73170731707317,0.4798170731707317,12.439024390243903,34.15853658536585,0.3624512195121951,17.78048780487805,23.097560975609756,0.7674878048780488,10.097560975609756,32.951219512195124,43.048780487804876,25.24390243902439,7.7560975609756095,5.426829268292683,13.304878048780488,17.78048780487805,114.1951219512195
25.536585365853657,15.963414634146341,0.6097560975609756,242.1341463414634,45.41463414634146,89.7560975609756,0.5072926829268293,12.0,31.9390243902439,0.37659756097560976,17.926829268292682,23.28048780487805,0.7713780487804878,11.207317073170731,34.53658536585366,45.74390243902439,31.0,8.0,4.902439024390244,13.548780487804878,17.609756097560975,120.7560975609756
21.317073170731707,20.182926829268293,0.5365853658536586,241.52439024390245,42.71951219512195,89.79268292682927,0.4771341463414634,12.817073170731707,35.3780487804878,0.36242682926829267,17.24390243902439,22.26829268292683,0.7693170731707317,11.353658536585366,33.40243902439025,44.75609756097561,26.402439024390244,7.951219512195122,5.2560975609756095,14.085365853658537,20.670731707317074,115.5
23.21951219512195,18.28048780487805,0.5853658536585366,240.609756097561,40.75609756097561,90.39024390243902,0.45158536585365855,15.414634146341463,42.3780487804878,0.36304878048780487,16.865853658536587,22.085365853658537,0.7576341463414634,12.548780487804878,32.829268292682926,45.3780487804878,29.097560975609756,9.402439024390244,4.7682926829268295,13.195121951219512,19.158536585365855,113.79268292682927
